CAS,NOMBRE QUIMICO,FORMULA QUIMICA,OTROS NOMBRES
1309-60-0,Ôxido de plomo (PbO2),O2Pb,dióxido de plomo; óxido de plomo; óxido de plomo marrón; peróxido de plomo; superóxido de plomo; Lead dioxide; Lead oxide; Lead oxide brown; Lead peroxide; Lead peroxide (PbO2); Lead superoxide; Lead(IV) oxide; Plumbic oxide; Thiolead A;C.I. 77580; Lead Brown;Dióxido de plomo
1309-64-4,Ôxido de antimonio (Sb2O3),O3Sb2,"óxido de antimonio; sesquióxido Antimonio; trióxido de antimonio; blanco de antimonio, antimonio (3 +) óxido; A 120 (corrosion inhibitor); ACC-BS; AN 800; AO 112; AO 3; AO 5; AP 50; AP 50 (metal oxide); AT 3; AT 3B; AT 3CN; Antimonious oxide; Antimony Bloom 100A; Antimony Bloom 500A; Antimony oxide; Antimony oxide (O3Sb2); Antimony oxide (SbO1.5); Antimony sesquioxide; Antimony trioxide; Antimony trioxide (Sb2O3); Antimony white;Antimony(3+) oxide;Antis N;Antis W;Antox;Atox B;Atox F;Atox R;Atox S;Bluestar RG;Bluestar Z;C.I. 77052;C.I. Pigment White 11;Chemetron Fire Shield;Dechlorane A-O;100A; A 120;TRIOXIDO DE ANTIMONIO "
131-11-3,"Ácido 1,2-bencenodicarboxílico, 1,2-dimetil éster",C10H10O4,"Ácido 1,2-bencenodicarboxílico de dimetilo; Ftalato de dimetilo ; 1,2-dimetil bencenodicarboxilato; o-dimetil-ftalato; ftalato de dimetilo;1 2-Benzenedicarboxylic acid  dimethyl ester (9CI);Phthalic acid  dimethyl ester (6CI 8CI);Avolin;DMF (insect repellent);DMP;Dimethyl 1 2-benzenedicarboxylate;Dimethyl o-phthalate;Dimethyl phthalate;Fermine;Mipax;NSC 15398;NTM;Palatinol M;Repeftal;Solvanom;Solvarone;Unimoll DM; Avolin; DMF (insect repellent); DMP; Dimethyl 1 2-benzenedicarboxylate; Dimethyl o-phthalate; Dimethyl phthalate; Fermine; Mipax; NSC 15398; NTM; Palatinol M; Repeftal; Solvanom; Solvarone; Unimoll DM;12-Benzenedicarboxylic acid dimethyl ester (9CI); Phthalic acid dimethyl ester (6CI8CI);Dimetiiftalato"
131-17-9,"Ácido 1,2-bencenodicarboxílico, 1,2-di-2-propen-1-il éster",C14H14O4,"Ácido 1,2-bencenodicarboxílico, di-2-propenil éster; ácido ftálico, éster de dialilo; ftalato de alilo; ftalato de dialilo; Allyl phthalate; DAP Monomer; DAP-M; DT 170; Daiso DAP monomer; Dap Tohto DT 170; Dapon R; Dappu; Diallyl phthalate; NSC 7667;12-Benzenedicarboxylic acid di-2-propenyl ester (9CI); Phthalic acid diallyl ester (6CI8CI);DIALIL FTALATO"
131-52-2,"Fenol, 2,3,4,5,6-pentacloro-, sal de sodio (1:1)",C6HCl5O.Na,"fenol, pentacloro-, sal de sodio; pentaclorofenato de sodio; pentaclorofenol de sodio; pentaclorofenoxido de sodio; CL 208; Dowicide G; GR 48-11PS; GR 48-32S; Mystox D; NAPCP; PCP sodium salt; PCP-Sodium; PKhFN; Pentachlorophenate sodium; Pentachlorophenol sodium salt; Pentachlorophenoxy sodium; Pentanot 25; Preventol PN; Santobrite; Sapco 25; Sodium PCP; Sodium pentachlorophenate; Sodium pentachlorophenol; Sodium pentachlorophenolate; Sodium pentachlorophenoxide;Witophen N;Phenol pentachloro- sodium deriv. (6CI); Phenol pentachloro- sodium salt (8CI9CI);Pentaclorofenato de sodio (organoclorado)"
131-53-3,"Metanona, (2-hidroxi-4-metoxifenil) (2-hidroxifenil) -",C14H12O4,"Benzofenona, 2,2 '-dihidroxi-4-metoxi-; (2-hidroxi-4-metoxifenil) (2-hidroxifenil) metanona; 2,2'-dihidroxi-4-metoxibenzofenona; 4 -- metoxi-2, 2'-Dihidroxibenzofenona;Benzophenone 2 2'-dihydroxy-4-methoxy- (6CI 7CI 8CI);(2-Hydroxy-4-methoxyphenyl)(2-hydroxyphenyl)methanone;2 2'-Dihydroxy-4-methoxybenzophenone;4-Methoxy-2 2'-dihydroxybenzophenone;Advastab 47;Benzophenone 8;Cyasorb UV 24;Cyasorb UV 24 Light Absorber;DMB;Dioxybenzon;Dioxybenzone;Eversorb 52;Kemisorb 111;NSC 56769;Spectra-Sorb UV 24;UF 2;UV 24; 2 2'-Dihydroxy-4-methoxybenzophenone; 4-Methoxy-2 2'-dihydroxybenzophenone; Advastab 47; Benzophenone 8; Cyasorb UV 24; Cyasorb UV 24 Light Absorber; DMB; Dioxybenzon; Dioxybenzone; Kemisorb 111; NSC 56769; Spectra-Sorb UV 24; UF 2; UV 24;Benzophenone22'-dihydroxy-4-methoxy- (6CI7CI8CI); (2-Hydroxy-4-methoxyphenyl)(2-hydroxyphenyl)methanone;BENZOFENONA NO. 8"
131-55-5,"Metanona, bis (2,4-dihidroxifenil) -",C13H10O5,"Benzofenona, 2,2 ', 4,4'-tetrahidroxi-; 2,2 ', 4,4'-difenil cetona tetrahidroxi; 2,2 ', 4,4'-Tetrahidroxibenzofenona; 2,4, 2 ', 4'-Tetrahidroxibenzofenona; Benzofenona 2;Benzophenone 2 2' 4 4'-tetrahydroxy- (6CI 8CI);2 2' 4 4'-Tetrahydroxy diphenyl ketone;2 2' 4 4'-Tetrahydroxybenzophenone;2 4 2' 4'-Tetrahydroxybenzophenone;Benzophenone 2;Dainsorb P 6;NSC 38556;Seesorb 106;Sumisorb 150;T 0118;Uvinul 3050;Uvinul D 50; 2 2' 4 4'-Tetrahydroxybenzophenone; 2 4 2' 4'-Tetrahydroxybenzophenone; Benzophenone 2; Dainsorb P 6; NSC 38556; Seesorb 106; Sumisorb 150; T 0118; Uvinul 3050; Uvinul D 50;Benzophenone22'44'-tetrahydroxy- (6CI8CI); 22'44'-Tetrahydroxy diphenyl ketone;BENZOFENONA NO. 2"
131-56-6,"Metanona, (2,4-dihidroxifenil)fenil-",C13 H10 O3,Benzophenone 2 4-dihydroxy- (8CI);(2 4-Dihydroxyphenyl)phenylmethanone;2 4-Dihydroxybenzophenone;4-Benzoylresorcinol;ASL 23;Aduvex 12;Advastab 48;Benzophenone 1;Benzoresorcinol;Dastib 263;Eastman inhibitor DHPB;Eversorb 10;HHB;Inhibitor DHBP;Lowilite 24;NC 011;NSC 38555;NSC 5358;Resbenzophenone;Sanduvor 3041;Seesorb 100;Sumisorb 100;Syntase 100;UF 1;UV 0;UV 12;UV 214;UV-O;Ultrafast 800;Uvasorb 20H;Uvinul 3000;Uvinul 400;Uvinul M 400;Uvistat 12;Viosorb 100;Zislizer;Nulo
131-57-7,"Metanona, (2-hidroxi-4-metoxifenil)-fenil -",C14H12O3,"Benzofenona, 2-hidroxi-4-metoxi-; (2-hidroxi-4-metoxifenil) fenilmetanona; 2-benzoilo-5-metoxifenol; 2-hidroxi-4-metoxibenzofenona; 4-metoxi-2-hidroxibenzofenona; oxibenzona;Benzophenone  2-hydroxy-4-methoxy- (6CI 8CI);(2-hydroxy-4-methoxyphenyl)phenylmethanone;2-Benzoyl-5-methoxyphenol;2-Hydroxy-4-methoxybenzophenone;4-Methoxy-2-hydroxybenzophenone;ASL 24;Aduvex 24;Advastab 45;Anuvex;Benzophenone 3;Chimaáorb 90;Cyasorb UV 9;Cyasorb UV 9 Light Absorber;Escalol 567;Eusolex 4360;Jeescreen Benzophenone 3;Kemisorb 11;MOB;NSC 7778;Neo Heliopan BB;Ongrostab HMB;Onzone;Oxybenzon;Oxybenzone;Seesorb 101;Spectra-Sorb UV 9;Sumisorb 110;Sunscreen UV 15;Syntase 62;Tinosorb B 3;UF 3;UV 9;Uvasorb MET/C;Uvinul 3040;Uvinul 9;Uvinul M 40;Uvistat 24;Viosorb 110; 2-Benzoyl-5-methoxyphenol; 2-Hydroxy-4-methoxybenzophenone; 4-Methoxy-2-hydroxybenzophenone; ASL 24; Aduvex 24; Advastab 45; Anuvex; Benzophenone 3; Chimaáorb 90; Cyasorb UV 9; Cyasorb UV 9 Light Absorber; Escalol 567; Eusolex 4360; Jeescreen Benzophenone 3; Kemisorb ;BENZOPHENONA-3"
131-73-7,"Bencenamina, 2,4,6-trinitro-N-(2,4,6-trinitrofenil) -",C12H5N7O12,"Difenilamina, 2,2 ', 4,4', 6,6 '-hexanitro-; 2,2', 4,4 ', 6,6'-Hexanitrodifenilamina; 2,4,6,2 ', 4 ', 6'-Hexanitrodifenilamina; 2,4,6-trinitro-N-(2,4,6-trinitrofenil) bencenamina; bis (2,4,6-trinitrofenil) amina; 2 4 6 2' 4' 6'-Hexanitrodiphenylamine; 2 4 6-Trinitro-N-(2 4 6-trinitrophenyl)benzenamine; Bis(2 4 6-trinitrophenyl)amine; Dipicrylamine; Hexamine; Hexamine (potaáium reagent); Hexanitrodiphenylamine; Hexyl; Hexyl (reagent); N N-Bis(2 4 6-Trinitrophenyl)amine; NSC 1786;Diphenylamine22'44'66'-hexanitro- (8CI); 22'44'66'-Hexanitrodiphenylamine;Hexanitrodifenilamina"
131-74-8,"Fenol, 2,4,6-trinitro-, sal de amonio (1:1)",C6H3N3O7.H3N,"Fenol, 2,4,6-trinitro-, sal de amonio; ácido pícrico, sal de amonio ; picrato de amonio;Obeline picrato (6CI);Fenol, 2,4,6-trinitro-, sal de amonio (9CI);ácido pícrico, sal de amonio (7CI, 8CI);Picrato de amonio;ExplosivoD;Picratol; Picric acid  ammonium salt (7CI 8CI); Ammonium picrate; Explosive D; Picratol;Obeline picrate (6CI); Phenol246-trinitro- ammonium salt (9CI);Explosivo"
131-89-5,"Fenol, 2-ciclohexil-4,6-dinitro-",C12 H14 N2 O5,"2,4-Dinitro-6-ciclohexilfenol; 2-ciclohexilo-4,6-dinitrofenol;  4,6-Dinitro-o-ciclohexilfenol; 4 6-Dinitro-o-cyclohexylphenol; DN; DN (pesticide); DN 1; DNOCHP; Dinex; Dry Mix No. 1; NSC 403662; NSC 7739; SN 46;24-Dinitro-6-cyclohexylphenol; 2-Cyclohexyl-46-dinitrophenol;2-CICLOHEXIL-4,6-DINITROFENOL"
1310-43-6,Fosfuro de hierro (Fe2P),Fe2P,Monofosfuro de dihierro; fosfuro de dihierro; fosfuro de hierro; Ferrophos; Ferrophos (pigment); Ferrophos 31; Ferrophos HRS 3095; Ferrophos HRS 3212; Ferrous phosphide;Diiron monophosphide; Diiron phosphide;Ferrofósforo
1310-58-3,Hidróxido de potasio (K (OH)),HKO,Hidróxido de potasio; potasa cáustica; Potasa; Caustic potash; Clearcut S; Cyantek CC 723; Gardoclean S 5167; PSE 200; Potash;Potaáium hydroxide (8CI); Arrocon 2298;Hidróxido de potasio seco
1310-65-2,Hidróxido de litio (Li (OH)),HLiO,Hidróxido de litio; hidrato de litio;Lithium hydroxide (8CI);Lithium hydrate;Lithium hydroxide (8CI); Lithium hydrate;Hidróxido de litio
1310-73-2,Hidróxido de sodio (Na (OH)),HNaO,"Hidróxido de sodio ; sosa cáustica; Soda, cáustica;Sodium hydroxide (8CI);Aetznatron;Ascarite;Caustic soda;Collo-Grillrein;Collo-Tapetta;E 33;E 33 (degreasing agent);FC 4370;GR;GR (alkali reagent);MO 67;NSC 135799;Promoter 3308B;Soda  caustic;StamperPrep;Tosoh Pearl;White caustic; Ascarite; Caustic soda; Collo-Grillrein; Collo-Tapetta; DL alpha; DL alpha; E 33; E 33 (degreasing agent); FC 4370; GR; GR (alkali reagent); MO 67; NSC 135799; Soda  caustic; StamperPrep; Tosoh Pearl; White caustic;Sodium hydroxide (8CI); Aetznatron;Hidróxido de tetrametilamonio"
1310-82-3,Hidróxido de rubidio (Rb (OH)),HORb,Hidróxido de rubidio ;Rubidium hydroxide (7CI8CI);Hidróxido de rubidio    
131013-81-5,"Metanaminio, N, N, N-trimetil-, 4,5-dihidro-5-oxo-1-(4-sulfofenil) -4 - [2 - (4-sulfofenil) diazenil]-1H-pirazol-3-carboxilato ( 3:1)",C16 H9 N4 O9 S2 . 3 C4 H12 N,"Metanaminio, N,N,N-trimetil-, sal con 4,5-dihidro-5-oxo-1-(4-sulfofenil) -4 - [(4-sulfofenil) azo]-1H-pirazol-3- ácidocarboxílico (3:1); Methanaminium NNN-trimethyl- salt with 45-dihydro-5-oxo-1-(4-sulfophenyl)-4-[(4-sulfophenyl)azo]-1H-pyrazole-3-carboxylic acid (3:1) (9CI);  1H-Pyrazole-3-carboxylic acid45-dihydro-5-oxo-1-(4-sulfophenyl)-4-[(4-sulfophenyl)azo]- ion(3-) tris(NNN-trimethylmethanaminium) (9CI);Solucion acido amarillo 23 TMA"
13114-72-2,"Urea, N'-metil-N, N-difenil -",C14H14N2O,"Urea, 3-metil-1 ,1-difenil-; N-metil-N ', N'-difenilurea; N'-metil-N , N-difenilurea; Acardite II; Akardit II; Akardite II; N-Methyl-N'''' N'-diphenylurea; N''''-Methyl-N N-diphenylurea;Urea 3-methyl-11-diphenyl- (6CI7CI8CI); Acardit II;N'-metil-N,N-difenilurea"
1312-73-8,Sulfuro de potasio (K2S),K2S,Monosulfuro dipotásico; sulfuro de dipotásico; monosulfuro de potasio; sulfuro de potasio; Dipotaáium sulfide; Potaáium monosulfide; Potaáium sulfide;Dipotaáium monosulfide; Dipotaáium monosulfide (K2S);Sulfuro de potasio anhidro
1312-76-1,"Ácido silícico, sal de potasio",Fórmula química no especificada,silicato de potasio; polisilicato de potasio; 2K; 2K (salt); AgSil 25; AgSil 25F; Betolin EP 219; Betolin K 28; Betolin P 35; Betolin P 50; Choline S 458K; Crystal K 120; Crystal K 78; Inobond K 4009; K 120; K 4/2; K 4009; K 53; K 53 (silicate); K 66; K 78; Kasil; Kasil 1;Kasil 1552;Kasil 2130;Kasil 2135;Kasil 2236;Kasil 2529;Kasil 33;Kasil 6;Kasil 88;Kasil á;Kasolv 16;Kasolv á;MAX 3;Moersil H;OK 55;1K; 1K (salt);Polisilicato de potasio
1312-81-8,Ôxido de lantano (La2O3),La2O3,Ôxido de Dilantanio; trióxido de Dilantanio; óxido de lantano; sesquióxido de lantano; trióxido de lantano; Lanthana; Lanthanum oxide; Lanthanum sesquioxide; Lanthanum trioxide; Lanthanum(3+) oxide; Lanthanum(III) oxide;Dilanthanum oxide; Dilanthanum trioxide;Oxido lantanido
13121-70-5,"Estanano, triciclohexilhidroxi -",C18 H34 O Sn,triciclohexilhidroxiesta±o;  hidroxitriciclohexilestanano;  hidróxido de Triciclohexiltin; Acarstin; Acarstin L; Cyhexatin; Dowco 213; Hokko Cyhexatin; Hydroxytricyclohexylstannane; M 3180; NSC 179742; Pennstyl; Plictran; Pliktran; Plyctran; Redran 25PB; Sipcatin; Tricyclohexylhydroxystannane; Tricyclohexylhydroxytin; Tricyclohexylstannanol; Tricyclohexylstannyl hydroxide; Tricyclohexyltin hydroxide;Tin tricyclohexylhydroxy- (7CI); Acarex;Hidróxido de triciclohexilesta±o (pietran)
1313-13-9,Ôxido de manganeso (mno2),Mn O2,Activated manganese dioixde;Battery manganese;CMD 100;Cellmax CMD 1;Cellmax CMD-U;EMD;EP Type II;Eagle Picher G;FMH;G 80-325;GH-T;GH-U;GMR-T;HC 9;HC 9 (oxide);HH-TF 7;HHTF;HM 370;HM 370 (oxide);Manganese dioxide;Manganese dioxide (MnO2);Manganese oxide;Manganese(IV) oxide;OL 1;PS 1102B;QSI-NANO;RB-A;RB-A (oxide);Thiobrown;Nulo
1313-27-5,Ôxido de molibdeno (MoO3),MoO3,óxido de molibdeno; trióxido de molibdeno; anhídrido de ácido molíbdico; anhídrido molíbdico; óxido molíbdico; MFR; Mo 1202T; Molybdena; Molybdenum oxide; Molybdenum oxide (Mo4O12); Molybdenum oxide (Mo5O15); Molybdenum oxide (MoO3)  tetramer; Molybdenum trioxide; Molybdenum trioxide pentamer; Molybdenum trioxide tetramer; Molybdenum(VI) oxide; Molybdenum(VI) trioxide; Molybdic acid anhydride; Molybdic anhydride; Molybdic oxide; NSC 215191; Pol-U;Bouen SKN 301; JCPDS 35-0609;TRIOXIDO DE MOLIBDENO
1313-59-3,Ôxido de sodio (Na2O),Na2O,Ôxido de sodio;  monóxido de disodio;  óxido de disodio;Ôxido de sodio; monóxido de disodio; óxido de disodio; Disodium oxide; Sodium oxide (NaO0.5);Sodium oxide (8CI); Disodium monoxide;Monóxido de sodio
1313-60-6,Peróxido de sodio (Na2 (O2)),Na2O2,dióxido de disodio; peróxido de disodio; Sodium oxide (Na2O2); Sodium peroxide;Disodium dioxide; Disodium peroxide;Peróxido de sodio
1313-82-2,Sulfuro de sodio (Na2S),Na2S,Monosulfuro de de disodio; sulfuro de disodio; monosulfuro de sodio; sulfuro de sodio; Disodium sulfide (Na2S); NSC 41874; Sodium monosulfide; Sodium sulfide; Sodium sulphide;Disodium monosulfide; Disodium sulfide;Sulfuro de sodio
1313-96-8,Ôxido de niobio (Nb2O5),Nb2O5,pentaóxido de Diniobio; óxido de niobio; Cerac N 1117; Diniobium pentaoxide; Diniobium pentoxide; HY 340; HY 340 (metal oxide); Nd-AC 25E; Niobia; Niobium oxide; Niobium oxide (Nb10O25); Niobium pentaoxide; Niobium pentoxide; Niobium(5+) oxide; Niobium(V) oxide; Optolake 17;Biral Nb-G 6000; Biral Nb-X 10;Pentóxido de niobio
1313-99-1,Ôxido de níquel (NiO),NiO,Ôxido de Mononicel; monooxido de níquel; óxido de niqueloso; NiO-G 39; Nickel Oxide Sinter 75; Nickel monooxide; Nickel monoxide; Nickel oxide; Nickel(2+) oxide; Nickel(II) oxide; Nickelous oxide;Mononickel oxide; NiO-D;MONOXIDO DE NIQUEL
131341-86-1,"1H-pirrol-3-carbonitrilo, 4 - (2,2-difluoro-1 ,3-benzodioxol-4-il) -",C12 H6 F2 N2 O2,No tiene;  Celeste;  Fludioxonil;  Geoxe;  Maxim;  Maxim (pesticide);  Maxim PSP;  Saphire;  Savior;  Scholar; Beret Gold;  CGA 173506;Fludioxonil (ditiocarbámico)
13138-45-9,"Ácido nítrico, sal de níquel (2 +) (2:1)",HNO3.1/2Ni,"ácido nítrico, níquel (2 +) sal;  bis Níquel (nitrato); Dinitrato de níquel]; nitrato de níquel; nitrato niqueloso; Nickel dinitrate; Nickel nitrate; Nickel nitrate (Ni(NO3)2); Nickel(2+) nitrate; Nickel(II) nitrate; Nickelous nitrate;Nitric acid nickel(2+) salt (8CI9CI); Nickel bis(nitrate);Nitrato de Níquel"
1314-06-3,Ôxido de níquel (Ni2O3),Ni2O3,trióxido de diníquel; peróxido de níquel; sesquióxido níquel; trióxido de níquel; Nickel sesquioxide; Nickel trioxide; Nickel(III) oxide; Nickelic oxide;Dinickel trioxide; Nickel peroxide;Hidróxido de níquel
1314-13-2,Ôxido de zinc (ZnO),OZn,óxido de zinc ; 503R; 720C; AEE-Zn 601; AR; AR (metal oxide); AT 01; AT 01 (metal oxide); AT 86; AZ-SW; AZO; AZO 22; AZO 55; AZO 66; AZO 66T; AZO 77; AZO 77H; AZO 77HSA; AZO 801; AZO 805; AZO 945; AZO-A;AZO-ZZZ 111;ActiSorb S 2;Activox C 80;Activox R 50;Actox 14;Actox 16;Actox 216;AdNano ZnO 20;Adnano Z 5;AguaMix 1162;Amalox;Azo-B;Azodox;BA 01-05;Zinc oxide (8CI); 3N5;Ôxido de cinc
1314-18-7,Peróxido de estroncio (Sr (O2)),O2Sr,dióxido de estroncio; óxido de estroncio; peróxido de estroncio; Strontium peroxide;Strontium dioxide; Strontium oxide (SrO2);Peróxido de estroncio
1314-22-3,Peróxido de cinc (Zn (O2)),O2Zn,dióxido de zinc; óxido de zinc; peróxido de zinc; ZPO; Zeonet ZP; Zinc dioxide; Zinc oxide (ZnO2); Zinc peroxide;Struktol ZP 1014; ZP 1014;Peróxido de cinc
1314-23-4,Ôxido de circonio (ZrO2),O2Zr,Pigmento Blanco 12; anhídrido Zirconico; dióxido de circonio; óxido de zirconio (IV) óxido;3Y-TZ;3YA;9MG;9MG (oxide);AE 7592;AL 7;AZS-A;AZS-B;AZS-NB;Aerosil VPH;BOP 3M;BR 3QZ;BR 90G;Bacote 20T2;Biral Zr-C 20;C.I. 77990;C.I. Pigment White 12;CAP;CAP (oxide);CC 10;CF Super HM;DK 2;DK 2 (oxide);DSC-HP;Digest T 90;Dynazircon F 5Y;E 101;E 101 (oxide);Ecostage RB-SEC 1;Elcom JX 1022ZRV;FZCA;FZR 325;Fianit;H 0907;HSY 3B;HSY 3F-J;HXU 110JC;HZ 307W6;JRC-ZRO 2;JRC-ZRO 3;JRC-ZRO 4;KZ OY-L;KZ-OY;KZ-OY-LF;KZ-OY-LSF;KaVo;MEL-XZ 01247/01;MZR;MZR (oxide);Mel E 101;Mel-S;N-PC;NNC 100;NSC 12958;NSZ 30A;NZ-A;NZ-A (oxide);NZD 3005;NZD 3007;NZD 3007NDO;NZD 3JF95E;NZD 8007;NZD 8E61;NZD 8E61-01;NZD 8J61;NZS 20A;NZS 20A3Y;NZS 30;NZS 30A;NZS 30B;Nalco 00á008;Nalco OOáOO 8;Nanotek Zr;Nanotek ZrO2;Nanouse OZ 30M;Nanouse ZR 30A;Nanouse ZR 30AL;Nanouse ZR 30BS;Nanouse ZR 40BL;Niáan Zirconia Sol NZS 20A;NobelProcera;Norton 9839;Nyacol ZR 10/20;Nyacol Zr (acetate);Nyacol Zr 100/20;Nyacol Zr 50/20;OOá 008;OZ-S 30K;OZC 0;OZC 12CEB;OZC 3Y;oxido de circonio
1314-24-5,Ôxido de fósforo (P2O3),O . P,Trióxido de difósforo; sesquióxido fósforo; trióxido de fósforo; Phosphorus trioxide;Diphosphorus trioxide; Phosphorus sesquioxide;Trioóxido de fósforo
1314-32-5,Ôxido de talio (Tl2O3),O3 Tl2,Trióxido de Ditalio; óxido tálico;  óxido de talio; sesquióxido Talio;Trióxido de Ditalio; óxido tálico; óxido de talio; sesquióxido Talio; Thallium oxide; Thallium oxide (2:3); Thallium sesquioxide; Thallium trioxide; Thallium(3+) oxide; Thallium(III) oxide;Dithallium trioxide; Thallic oxide;Ôxido de talio
1314-36-9,Ôxido de itrio (Y2O3),O3Y2,trióxido de Diittrio; óxido de itrio; sesquióxido itrio; trióxido de itrio; BB (metal oxide); Diyttrium trioxide; FCD-660-2; FY-10; FY-2; FY-5; FY-7; NR; Nanotek Y2O3; PC Y 350; PC-YH; RU-P; RU-P (oxide); RU-PB; áE-R1-7; SY; SY (oxide); Type BB; Y-F; Y-F (metal oxide); YO 3-245;YYO 01PA;Yttria;Yttrium oxide;Yttrium oxide (YO1.5);Yttrium oxide grade C;Yttrium sesquioxide;Yttrium trioxide;Yttrium(3+) oxide;Yttrium(III) oxide;Amperit 849.054; BB;Oxido de itrio
1314-41-6,Ôxido de plomo (Pb3O4),O4Pb3,Pigmento Rojo 105; tetraóxido de plomo; óxido rojo de plomo; tetraóxido triplúmbico; C.I. Pigment Red 105; Entan; Flowsperse R 12; Gold Satinobre; Heuconin 5; Kremer 42500; Lead minium; Lead orthoplumbate; Lead oxide; Lead oxide (3:4); Lead oxide red; Lead tetraoxide; Lead tetroxide; Mennige; Mineral Orange; Mineral red; Minium; Minium (Pb3O4); Minium Non-Setting RL 95; Minium red; Orange Lead;Paris Red;Pigment Red 105;Red lead;Red lead (pigment);Red lead oxide;Red lead oxide (Pb3O4);Sandix;Saturn Red;Trilead tetraoxide;Trilead tetroxide;Azarcon; C.I. 77578;TETRAOXIDO DE PLOMO
1314-56-3,Ôxido de fósforo (P2O5),O5P2,Pentaóxido de difósforo; pentóxido de difósforo; anhídrido de ácido fosfórico; anhídrido fosfórico; óxido fosfórico; anhídrido fosfórico; óxido de fósforo; Pentóxido de fósforo; Diphosphorus pentoxide; Phosphoric acid anhydride; Phosphoric anhydride; Phosphoric oxide; Phosphoric pentoxide; Phosphorus oxide; Phosphorus pentaoxide; Phosphorus pentoxide;Diphosphorus pentaoxide; Diphosphorus pentaoxide (P2O5);Pentóxido de fósforo
1314-62-1,Ôxido de vanadio (V2O5),O5V2,Pentóxido de divanadio; pentóxido divanadio; anhídrido vanadio; óxido de vanadio; Divanadium pentoxide; Pentaoxodivanadium; Vanadia; Vanadic anhydride; Vanadium oxide; Vanadium oxide (V4O10); Vanadium pentoxide; Vanadium(V) oxide;C.I. 77938; Divanadium pentaoxide;Anhídrido vanádico
1314-68-7,Ôxido de renio (Re2O7),O7 Re2,Nulo;Nulo
1314-80-3,Sulfuro de fósforo (P2S5),P.S,Pentasulfuro de difósforo; sulfuro de fosfórico; pentasulfuro de fósforo; pentasulfuro de fósforo; persulfuro fósforo; Phosphorus pentasulfide; Phosphorus pentasulfide (P2S5); Phosphorus pentasulfide (P4S10); Phosphorus persulfide; Phosphorus sulfide (P4S10); Thiophosphoric anhydride;Diphosphorus pentasulfide; Phosphoric sulfide;Pentasulfuro fosforoso
1314-84-7,Fosfuro de zinc (Zn3P2),P2Zn3,difosfuro de tricinc; fosfuro de zinc; Nera; Ratol; Stutox; Stutox I; Trizinc diphosphide; ZP Rodent Bait AG; Zinc phosphide; Zinctox;Arrex E; Delusal;Fosfuro de cinc
1314-85-8,"3,5,7-tritia-1 ,2,4,6-tetrafosfatriciclo [2.2.1.02,6] heptano",P4 S3,Sulfuro de fósforo; sesquisulfuro de Fósforo; trisulfuro tetrafósforo; Tetraphosphorus trisulfide; Trisulfurated phosphorus;Phosphorus sulfide (P4S3) (6CI7CI8CI); Phosphorus sesquisulfide;Sesquisulfuro de fósforo
1314-87-0,Sulfuro de plomo (PbS),PbS,monosulfuro de plomo; sulfuro de plomo; sulfuro de plumboso; Lead sulfide; Lead sulfide (1:1); Lead sulfide (Pb2S2); Lead(2+) sulfide; Lead(II) sulfide; Natural lead sulfide; P 128; P 128 (sulfide); P 37; P 37 (filter); Plumbous sulfide;C.I. 77640; Lead monosulfide;Sulfuro de plomo
1314-96-1,Sulfuro de estroncio (SrS),ár,Sulfuro de estroncio; Pigmento Blanco 8; monosulfuro de estroncio; C.I. Pigment White 8; Pigment White 8; Strontium monosulfide;Strontium sulfide (8CI); C.I. 77847;Sulfuro de estroncio
1314-98-3,Sulfuro de cinc (ZnS),SZn,sulfuro de cinc ;  monosulfuro de zinc; C.I. 77975; C.I. Pigment Black 17; C.I. Pigment White 7; Cleartran; FV 40-1; FV 40-1 (sulfide); HD-S; Irtran 2; KV 1; KV 2; Litopone L; Pigment Black 17; Pigment White 7; RAK-LC; RAK-N; RAK-S; Sachtolith; Sachtolith HD; Sachtolith HD-S; Sachtolith L; ZNI 08PB;Zinc monosulfide;Zinc(II) sulfide;Zinc sulfide (8CI); Albalith;SULFURO DE ZINC
13149-00-3,"1,3-Isobenzofurandiona, hexahidro, (3AR, 7AS)-rel-",C8 H10 O3,"anhídrido 1,2-ciclohexanedicarboxilic, cis-(8CI);á1,3-Isobenzofurandione, hexahidro-, cis-;ácis-1 ,2-ciclohexanedicarboxilic anhídrido;ácis-ciclohexano-1 ,2-dicarboxílico ácido anhídrido;áanhídrido cis-Hexahidrofthalic;árel-(3AR, 7AS)-Hexahidroisobenzofuran-1 ,3-diona; cis-1 2-Cyclohexanedicarboxylic anhydride; cis-Cyclohexane-1 2-dicarboxylic acid anhydride; cis-Hexahydrophthalic anhydride; rel-(3aR 7aS)-Hexahydroisobenzofuran-1 3-dione;12-Cyclohexanedicarboxylic anhydride cis- (8CI); 13-Isobenzofurandione hexahydro- cis-;Anhídrido Hexahidroftálico (cis)"
131595-16-9,Tinolux bbs,Fórmula química no especificada,Nulo;Nulo
