Cas# /Accession#,Chemical Name
SN-18-0013,Lithium nickel oxide
P-98-0796,-1-Methoxypropan-2-amine
P-99-0531,"Formaldehyde, reaction products with an alkylated phenoland an aliphatic amine "
P-98-0325,Polyoxyalkylenealkylamine 
P-86-0831,Alkylated pyridine 
P-85-0216,"3,5-Dichloro-2,4,6-trifluoropyridine"
P-85-0535,"2,3,5-Trichloro-4,6-difluoropyridine"
P-85-0536,"3,4,5-Trichloro-2,6-difluoropyridine"
P-85-0428,Ester modified phenolic resin 
P-85-0433,3-Sulfanylpropan-1-ol
P-87-1123,Polyurea (generic)
P-87-0570,Rhizobium meliloti strain Rm 1021 pMW148
P-87-0569,Rhizobium meliloti strain Rm 1021 pJB191
P-87-0568,Rhizobium meliloti strain Rm 1021 pJB151
P-90-0339,Rhizobium meliloti strain RMB7135
P-97-0991,"2,3-Bispropyl 2-hydroxypropanoate"
P-84-0007,"N,N,N&#039;,N&#039;-Tetraglycidyl-1,3-bisaminomethyl cyclohexane "
P-85-0265,"Amines, tris"
P-83-0418,"Benzenedisulfonic acid, chlorotriazinylamino-dimethylphenylazo-sulfonaphthaleneazo "
P-83-0434,Unsaturated aliphatic diether 
P-83-0663,Alkyl-substituted aromatic amine 
P-83-0769,Disubstituted heterocycle 
P-83-0906,1-Bromo-4-methoxy-2-methylbenzene
P-83-0910,4-Methoxy-2-methyl-N-phenylaniline
P-82-0409,"Ethanol, 2-[amino]-, 1-(dihydrogen phosphate), N-tallow alkyl derivs., N-oxides, dipotassium salts"
P-89-0764,"2,4,4-Trimethylpentan-2-yl 3-dioxirane-3-carboxylate"
P-87-0068,Substituted cresol 
P-87-0010,Polymer of substituted heteromonocyle and alkanepolyol allyl ethers 
P-86-1686,"Alkanepolycarboxylic acid, polyalkylene glycol, alkanepolyol, tert-butyl benzoic acid and anhydride "
P-91-1322,"2,4-Dimethylthiophen-3-ol"
P-95-1282,"2-[[2-Chloro-4-[3-chloro-4-[[1--1,3-dioxobutan-2-yl]diazenyl]phenyl]phenyl]diazenyl]-N-(4-methoxyphenyl)-3-oxobutanamide"
P-84-0482,"Urea, condensate with poly[oxy]-, .alpha.-(2-aminomethylethyl)-.mu.-(2-aminoethylethoxy)-"
P-84-0569,Polychlorinated alkylated aromatic hyhdrocarbon 
P-86-0078,"Benzene, methyl nonyl-, branched"
P-86-0067,"2-Methyl-1H-imidazole, adduct with 1,3,5-triazine-2,4,6-trione"
P-89-0341,Bradyrhizobium japonicum strain BJB 2003
P-89-0340,Bradyrhizobium japonicum strain BJB 1003
P-88-1445,Cyclo-substituted alkyl propenoic acid derivative 
P-88-1277,Bradyrhizobium japonicum strain BJB 2001
P-88-1275,Bradyrhizobium japonicum strain BJB 1001
P-88-1120,Rhizobium meliloti strain RMB7401
P-88-1118,Rhizobium meliloti strain RMB7201
P-96-0758,"Phenol, 2,4-dichloro-5-hydrazinyl-, hydrochloride "
P-85-0648,"2,3,4,4,5,6-Hexamethyl-2,6-bisheptane"
P-96-0033,Cyclopropanecarbaldehyde
P-94-1744,-3-thiophen-2-yl-1-[6-[(E)-3-thiophen-2-ylprop-2-enoyl]pyridin-2-yl]prop-2-en-1-one
P-13-0658,Lithium metal phosphate 
P-13-0910,Glycolipid 
P-13-0911,Glycolipid 
P-13-0912,Glycolipid 
P-84-0591,"[1,1&#039;-Biphenyl]-ar,ar&#039;-disulfonic acid, lauryl derivs., disodium salts"
P-84-0660,"Benzene, ethenyl-, ar-bromo derivs."
P-84-0704,"Benzene, -, ar-bromo derivs."
P-84-0824,"-N,N&#039;-Bis(2,4,6-tribromophenyl)but-2-enediamide"
P-84-0902,Brominated aryl amine 
P-84-0903,Brominated aryl amine 
P-84-0839,Polyfunctional aziridine crosslinker 
P-84-0901,Brominated acrylcarbonate 
P-84-0954,2-phenol
P-84-0963,"6-Nitro-3H-1,3-benzoxazol-2-one"
P-84-1042,"Methanamine, methylcarbamodithioic acid"
P-84-1068,N-Dimethylthiocarbamylthio-N&#039;-phenyl urea
P-84-1136,Substituted aromatic amide 
P-84-1137,Cycloaliphatic epoxide 
P-84-1145,Alkyltrialkoxysilane 
P-84-1184,Polychlorofluoro aromatic alkylated hydrocarbon 
P-85-0018,Substituted amino anthraquinones 
P-85-0564,"Polymer of hydroxyethyl acrylate, 4,4&#039;-diphenylmethane diisocyanate, and polymethylene polyphenyl isocyanate"
P-85-0730,"Phosphoric acid, mixed 3-bromo-2,2-dimethylpropyl and 2-bromoethyl and 2-chloroethyl esters"
P-85-0822,Substituted alkyl alkanol 
P-85-0854,Modified trisphenol epoxy novolac 
P-85-0855,Modified trisphenol epoxy novolac 
P-85-0973,Modified trisphenol epoxy novolac 
P-86-0382,Modified trisphenol epoxy novolac 
P-85-0929,"4-tert-Butyl-2-methylbenzene-1,3-diamine"
P-85-0933,"4-Methoxy-N,6-dimethyl-1,3,5-triazin-2-amine"
P-85-0994,"Benzothiazolesulfonic acid, substituted-azo)carbomonocycle-, alkali metal salt (generic)"
P-98-0701,"Fatty acids, tall-oil, 2-mercaptoethyl esters, reaction products with dichlorodimethylstannane, 2-mercaptoethyl oleate, sodium sulfide  and trichloromethylstannane"
P-98-0700,"Fatty acids, tall-oil, 2-mercaptoethyl esters, reaction products with dichlorodimethylstannane, sodium sulfide  and trichloromethylstannane"
P-98-0496,"Tetrapotassium, 5-[diazenyl]-2-[(E)-2-[4-[(5-methyl-2-oxidophenyl)diazenyl]-2-sulfonatophenyl]ethenyl]benzenesulfonate"
P-98-0487,"2-Butenedioic acid -, ammonium salt (1:?), homopolymer, hydrolyzed, ammonium salts"
P-89-0280,Rhizobium meliloti strain RMB7103
P-88-1514,Reaction product of polyalkyltolueneamine and polysubstituted benzene derivative 
P-83-0603,"2-Amino-2,3-dimethylbutanenitrile"
P-89-0651,4-[-2-(4-Hydroxyphenoxy)-2-sulfanylethoxy]phenol
P-83-1222,"3-Chloro-1,1,2,3,3-pentafluoroprop-1-ene"
P-98-1274,"Aluminosilicates, phospho-, compds. with N-propyl-1-propanamine"
P-98-1275,"Aluminosilicates, phospho-"
P-84-0968,2-Methylpentyl acetate
P-83-0237,"2,3-Dichloro-5-pyridine"
P-85-1167,Halogenated alkene 
P-93-0214,Calcium-bis
P-89-0711,"Benzene, 1,2-dimethyl-, polypropene derivs., sulfonated, potassium salts"
P-90-0333,2-[3--4-hydroxyphenyl]ethyl 2-methylprop-2-enoate
P-90-1840,4-[3-phenoxy]aniline
P-89-1093,Bromomethane
P-92-1119,2-Methyl-2-[[4-sulfonylphenoxy]methyl]oxirane
P-82-0400,"Potassium N,N-bis cocoamine oxide phosphate"
P-85-1184,"Ethyl 2-oxyacetate"
P-85-1210,"Benzoic acid, 2-methoxy-4,7-methanoindan)-methylidene)amino, methyl ester"
P-85-1239,"Polymer of bisphenol A-diglycidyl ether, polyalkyl alkanepolyamines, substituted polyalkanepolyol and acrylonitrile adduct of polyalkyl alkanepolyamine "
P-85-1212,"Benzoic acid, 2-butylidene)amino, methyl ester"
P-85-1240,"Polymer of bisphenol A-diglycidyl ether, polyalkyl alkanepolyamines, and substituted polyalkanepolyol "
P-85-1283,Polymer of an acrylate ester and mixed methacrylate esters 
P-85-1369,Ethenyl silane ester 
P-85-1380,Epoxy ester 
P-85-1420,Substituted allyl aniline 
P-99-0847,"Bismuth, manganese, manganese, oxygen(2-)"
P-99-0545,"Octadecanoic acid, compd. with 2-ethanol (1:1)"
P-99-0546,"Isooctadecanoic acid, compd. with 2-ethanol (1:1)"
P-99-0547,"Fatty acids, soya, compds. with 2-ethanol"
P-99-0548,"Fatty acids, castor-oil, compds. with 2-ethanol"
P-99-0583,"Fatty acids, coco, compds. with 2-ethanol"
P-99-0584,"2-ethanol, dodecanoic acid"
P-99-0585,"Neodecanoic acid, compd. with 2-ethanol (1:1)"
P-99-0586,"Decanoic acid, compd. with 2-ethanol (1:1)"
P-99-0587,"Nonanoic acid, compd. with 2-ethanol (1:1)"
P-99-0588,"Boric acid , compd. with 2-(2-aminoethoxy)ethanol (1:1)"
P-99-0593,"Benzene, ethenylated, residues, middle fraction, reaction products with 1-butene, distn. Residues"
P-99-0594,"Solvent naphtha , heavy arom., middle fraction, reaction products with 1-butene, distn. Residues"
P-99-0544,"Fatty acids, tall-oil, compds. with 2-ethanol"
P-99-0522,"Benzene, ethenyl-, reaction products with benzene, distn. Residues"
P-99-0519,"Benzene, 1,1&#039;-ethylidenebis-, isopropylated, distn. Residues"
P-99-0353,"Decanamide, N-[2-ethyl]-"
P-99-0352,"Dodecanamide, N-[2-ethyl]-"
P-99-0351,"Amides, coco, N-[2-ethyl]-"
P-99-0350,"Neodecanamide, N-[2-ethyl]-"
P-86-1489,"Oxirane, 2-methyl-, polymer with oxirane, 2-aminomethylethyl 4-nonylphenyl ether, branched"
P-86-0501,"4-[2-[4-[2-propan-2-yl]phenyl]propan-2-yl]-2,6-dimethylaniline"
P-86-0500,"4-[2-[4-[2-[4-[Bisamino]phenyl]propan-2-yl]phenyl]propan-2-yl]-N,N-bis(oxiran-2-ylmethyl)aniline"
P-86-0083,"3-Chloro-2,6-dinitro-N,N-dipropyl-4-aniline"
P-86-0532,"Substituted acetic acid, sodium and potassium salts "
P-86-0531,"Substituted acetic acid, sodium and potassium salts "
P-86-0530,"Substituted acetic acid, sodium and potassium salts "
P-86-0478,"1,4-Benzenedisulfonic acid, 2,2&#039;-[1,2-ethenediyl bis[3-sulfo-4,1-phenylene)imino[6-[amino]-1,3,5-triazin-4,2-diyl]imino]]bis-, hexasodium salt (generic)"
P-86-0477,"1,4-Benzenedisulfonic acid, 2,2&#039;-[1,2-ethenediyl bis[3-sulfo-4,1-phenylene)imino[6-[amino]-1,3,5-triazin-4,2-diyl]imino]]bis-, hexasodium salt (generic)"
P-86-0473,t-Amyl peroxy monocarbonate 
P-86-0331,Propoxylated quaternary amine 
P-86-0266,Dialkyl substituted propionamide 
P-88-1116,Rhizobium meliloti strain RMB7101
P-98-0848,"Silicic acid , magnesium strontium salt (1:1:2), dysprosium and europium-doped"
P-90-0113,"Benzenesulfonamide, 2-methyl-, reaction products with bisphenol A-epichlorohydrin polymer and 4-methylbenzenesulfonamide"
P-90-0564,1-Methyl-3-propylimidazole-2-thione
P-86-1325,"Substituted alkyl methacrylate, butyl acrylate, substituted styrene and methyl methacrylate "
P-86-1293,"Formaldehyde, polymer with substituted benezenesulfonic acid "
P-86-1250,Fluoroalkyl epoxide 
P-86-0924,Alkyl acrylate 
P-86-0873,Perfluoroalkyl epoxide 
P-86-0872,Perfluoroalkyl epoxide 
P-96-1483,"Phenol, prop-1-en-2-ylbenzene, styrene"
P-96-1482,"Prop-1-en-2-ylbenzene;styrene, 2-phenol"
P-96-0731,"Glycine, N-[2-[bisamino]ethyl]-N-(1-oxododecyl)-, sodium salt"
P-96-0730,"Trisodium, 2-[carboxylatomethyl-[2-[carboxylatomethylamino]ethyl]amino]acetate"
P-96-0729,"Glycine, N-[2-[bisamino]ethyl]-N-(1-oxododecyl)-"
P-96-0291,"Fatty acids, coco, 2-ethylhexyl esters"
P-96-0262,"Poly, .alpha.-(1-oxo-2-propenyl)-.omega.-(2-propenyloxy)-"
P-95-2075,"1-O-Decyl 2-O-dodecyl benzene-1,2-dicarboxylate"
P-95-1827,"[3--2-hydroxypropyl] 4-hydroxybenzoate"
P-95-1601,"Pseudomonas fluorescens HK44, contains intergeneric genes from Escherichia coli, providing resistance to tetracycline from a naturally occuring transposon, and from Vibrio fischeri, providing the ability to emit light in the presence of salicylate."
P-93-1096,"Formaldehyde, reaction products with Me Et ketone, dehydrated, hydrogenated, distn. Residues"
P-93-0959,"Benzenepropanoic acid, 3,5-bis-4-hydroxy-, methyl ester, reaction products with 1,3-butanediol"
P-12-0558,"Tires, wastes, pyrolyzed, C7-56 oil fraction "
P-13-0175,Perfluoro epoxide copolymer 
P-90-0159,"1-pyrrole-2,5-dione"
P-95-1128,"2-Ethylhexyl 2,3,4,5-tetrabromobenzoate"
P-87-1192,1--3-[6-(dimethylaminocarbamoylamino)hexyl]urea
P-95-1561,Stilbene bisphenol 
P-95-1115,"1,3-bisimidazolidin-2-one"
P-95-1046,"5-Butyl-5-ethyl-2--1,3,2-dioxaphosphinane"
P-95-1028,Pseudomonas fluorescens 
P-95-0973,"Vanadium, lactate oxo sodium complexes"
P-95-0143,Alkylamine salt 
P-94-1561,"Phenol, C20-30-alkyl derivs., reaction products with carbon dioxide, phenol  derivs. and sulfur, calcium salts"
P-94-0919,Reaction product of alkanolamine and boric acid 
P-92-0813,"2-ethanol"
P-92-0552,Pseudomonas flourescens biovar I 
P-92-0551,Pseudomonas flourescens biovar I 
P-92-0550,Pseudomonas flourescens biovar I 
P-92-0549,Pseudomonas flourescens biovar I 
P-92-0548,Pseudomonas flourescens biovar I A 
P-92-0547,Pseudomonas flourescens biovar I A 
P-92-0546,Pseudomonas flourescens biovar I A 
P-92-0545,Pseudomonas flourescens biovar I A 
P-92-0402,Rizobium meliloti strain RMB7240
P-92-0401,Rizobium meliloti strain RMB7203
P-92-0400,Rizobium meliloti strain RMB139 Omega 710B
P-92-0399,Rizobium meliloti strain RMB138 Omega 710A
P-92-0251,Pseudomonas flourescens biovar I 
P-92-0250,Pseudomonas flourescens biovar I 
P-92-0249,Pseudomonas flourescens biovar I 
P-92-0248,Pseudomonas flourescens biovar I 
P-92-0247,Pseudomonas flourescens biovar I A 
P-92-0246,Pseudomonas flourescens biovar I A 
P-92-0245,Pseudomonas flourescens biovar I A 
P-92-0244,Pseudomonas flourescens biovar I A 
P-95-0169,1-Morpholin-4-ylprop-2-en-1-one
P-87-1036,2-[[5-naphthalen-2-yl]oxymethyl]oxirane
P-87-1881,"Cyclohexane-1,4-diamine"
P-92-0471,"1,2-Cyclohexanedicarboxylic acid, 2,2-bis[[[[2-[carbonyl]cyclohexy]carbonyl]oxy]methyl]-1,3-propanediylbis(oxiranylmethyl) ester"
P-89-0303,"urea"
P-86-0838,"3,5-Dichloro-2,6-difluoropyridin-4-amine"
P-86-0562,"Oxirane, 2-[[thio]methyl] derivs."
P-86-0503,4-[2-[4-[2-propan-2-yl]phenyl]propan-2-yl]aniline
P-86-0502,Tetraglycidalamines 
P-88-0862,Asymmetrical aromatic diacyl peroxide 
P-88-0715,"Polymer of alkyl acrylate, polyalkyoxysilane propanamine, silicic acid, tetraethyl ester and alkanolamine "
P-88-0388,Reaction product of alkylalkoxysilyl methacrylate and hydroxyalkane 
P-87-1417,Substituted diethylsuccinate 
P-87-1292,Pseudomonas aureofaciens biotyupe E strain Ps. 3732RNL11
P-84-0491,"3-Chloro-2,2-dimethylpropanoyl chloride"
P-89-0867,Decabromodiphenyl ethane
P-95-0243,4-tert-Butylphenol
P-90-1687,Formaldehyde adduct 
P-90-1527,"2-Propenoic acid, methyl ester"
P-98-1033,"Oxetane, 3-methyl-3-[methyl]-"
P-91-0411,Brominated triazine derivative 
P-92-0692,"2-Hydrazinyl-2-oxo-N-acetamide"
P-92-0129,"Ethenyl 6,6-dimethylheptanoate"
P-85-1331,"1,2,3,4-Tetrahydro-6-naphthalene"
P-94-0024,"Ethanaminium, N-ethyl-2-hydroxy-N,N-bis-, diester with C12-18 fatty acids, ethyl sulfates (salts)"
P-88-1938,2-Amino-N-cyclohexyl-N-ethylbenzenesulfonamide
P-93-0721,Ethyl tetrahydrofurfuryl ether
P-85-0680,2-Methylbutan-2-yl ethaneperoxoate
P-10-0358,"Iron, chloro[rel-1,5-dimethyl (1R,2S,4R,5S)-9,9-dihydroxy-3-methyl-2,4-di(2-pyridinyl-.kappa.N)-7-[(2-pyridinyl-.kappa.N)methyl]-3,7-diazabicyclo[3.3.1]nonane-1,5-dicarboxylate-.kappa.N3,.kappa.N7]-, chloride (1:1), (OC-6-63)-"
P-90-0335,2--4-(2-hydroxyethyl)phenol
P-90-0559,"4-Pentan-2-yloxyaniline,hydrochloride"
P-87-1471,Aryloxyalkyl halide 
P-91-1323,"N--2,4-dimethylthiophen-3-amine"
P-96-0019,"Lithium, oxidonickel"
P-99-1416,"Ethene, tetrafluoro-, oxidized, polymd., reduced, decarboxylated, C11 fraction"
P-99-1417,"Ethene, tetrafluoro-, oxidized, polymd., reduced, decarboxylated, C12 fraction"
P-99-1418,"Ethene, tetrafluoro-, oxidized, polymd., reduced, decarboxylated, C13 fraction"
P-99-1373,"2-Butenedioic acid -, 1-[2-[(2-methyl-1-oxo-2-propen-1-yl)oxy]ethyl] ester"
P-92-0396,"Amines, tallow alkyl, ethoxylated, compds. with polyethylene glycol hydrogen sulfate nonylphenyl ether"
P-88-0972,"4--2,6-dimethylphenol"
P-85-0619,2-[2-[Bisamino]ethyl-(2-hydrazinyl-2-oxoethyl)amino]acetate
P-89-0632,"1,3-Propanediamine, N1,N1&#039;-1,2-ethanediylbis-, polymer with 2,4,6-trichloro-1,3,5-triazine, reaction products with N-butyl-2,2,6,6-tetramethyl-4-piperidinamine"
P-93-0880,"Amines, N-coco alkyltrimethylenedi-, citrates"
P-93-0881,"Amines, N-tallow alkyltripropylenetetra-, citrates"
P-95-0168,2-[Diphosphorylmethyl-propan-2-yloxyphosphoryl]
P-88-1304,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with ethyl 2-propenoate, 2,2,6,6-tetramethyl-4-piperidinyl ester"
P-98-0823,12-Aminododecanoic acid
P-96-0756,"1-Piperidinecarboxylic acid, 2-[2-hydrazinylidene]-, methyl ester"
P-98-0150,"Poly[oxy],.alpha.-(1-oxo-2-propenyl)-.omega.-[(tetrahydro-2-furanyl)methoxy]-"
P-90-0274,"5-[2-[4-piperazin-1-yl]ethyl]-4-(4-fluorophenyl)-3H-1,3-oxazol-2-one"
J-12-0006,Modified Synechococcus for the production of ethanol 
P-12-0405,"1-Butanesulfonamide, 1,1,2,2,3,3,4,4,4-nonafluoro-N--, monoammonium salt"
P-86-1263,"Tetrakis 1,2-ethanediyl bis(phoshate)"
P-96-1006,"2-Ethenyl-1,3-dioxolane"
P-97-0648,"3,5-Difluoroaniline"
P-92-0168,"4-Isocyanato-N,N-bis-2,5-dimethoxyaniline"
P-94-0351,"2,2,3a,4,4,5,6,7-Octabromo-1,1,3-trimethyl-3-phenylindene"
P-88-2179,2-[6-hexoxymethyl]oxirane
P-97-1011,"2-[[4-[[3,5-Dimethyl-4-phenyl]methyl]-2,6-dimethylphenoxy]methyl]oxirane"
P-83-1157,4-phenylbutanoic acid
P-83-1227,Perhalo alkoxy ether 
P-87-1337,"Amines, rosin, 4-[2-diazenyl]-4&#039;-[2-(2-hydroxy-1-naphthalenyl)diazenyl][1,1&#039;-biphenyl]-2,2&#039;-disulfonate"
P-85-1211,Methyl 2-benzoate
P-89-0963,"2-Methyl-N,N&#039;-dipentane-1,5-diamine"
P-88-2188,"Poly, .alpha.-hydro-.omega.-(2-oxiranylmethoxy)-, ether with 2-ethyl-2-(hydroxymethyl)-1,3-propanediol (3:1)"
P-90-0560,1-Nitro-4-pentan-2-yloxybenzene
P-89-1058,"Ethenyl 2,2-dimethylpropanoate"
P-92-1394,"4-[2-[4,4-Biscyclohexyl]propan-2-yl]-1,1-bis(tert-butylperoxy)cyclohexane"
P-91-1321,"1,2,4-Trichloro-2-methylpentan-3-one"
P-93-0333,"Lysolecithins, soya"
P-96-0175,"lithium,manganese,manganese,oxygen(2-)"
P-91-0809,"Oxygen,vanadium,pentahydroxide"
P-91-0826,Ethenyl 2-ethylhexanoate
P-90-0558,hydrazine
P-97-0649,"1-Amino-3-urea"
P-85-1034,Nickel acrylate complex 
P-92-1086,Octanehydrazide
P-86-1648,"2,2-Dichloro-1-ethanone"
P-93-1694,"Oxazolidine, 3--5-(2-furanyl)-2,2-dimethyl-, (5R)-"
P-88-0436,"1,3,5-Triazine, 2,4,6-trichloro-, polymer with piperazine, reaction products with morpholine"
P-91-0065,"2,9-Bis-1,3,8,10-tetraoxa-2,9-diphosphaspiro[5.5]undecane"
P-93-1649,"1,3-Dimethylimidazolidin-2-one"
P-91-1361,"Bis1,5-dioxaspiro[5.5]undecane-3,3-dicarboxylate"
P-88-0083,"1,5-Dioxaspiroundecane-3,3-Dicarboxylic acid, bis(2,2,6,6-tetramethyl-4-piperidinyl) ester"
P-87-1882,"Cyclohexane-1,4-diamine"
P-92-0035,"1H-Benzotriazole, 5--, sodium salt"
P-92-0344,"2-N,2-N-Dimethyl-6--1,3,5-triazine-2,4-diamine"
P-12-0557,"Tires, wastes, pyrolyzed, C6-39 oil fraction "
P-15-0059,"Siloxanes and Silicones, 3-[amino]propyl Me, di-Me, reaction products with cadmium zinc selenide sulfide, lauric acid and oleylamine"
P-15-0060,Cadmium selenide zinc sulfide dodecanoic acid and amine 
P-15-0104,"Alkanoic acid, reaction products with cadmium selenide and alkylamine "
P-15-0121,"Formaldehyde, polymer with aliphatic polyamines "
P-99-1408,"Ethene, tetrafluoro-, oxidized, polymd., reduced, decarboxylated, C3 fraction"
P-99-1409,"Ethene, tetrafluoro-, oxidized, polymd., reduced, decarboxylated, C4 fraction"
P-99-1410,"Ethene, tetrafluoro-, oxidized, polymd., reduced, decarboxylated, C5 fraction"
P-99-1411,"Ethene, tetrafluoro-, oxidized, polymd., reduced, decarboxylated, C6 fraction"
P-99-1412,"Ethene, tetrafluoro-, oxidized, polymd., reduced, decarboxylated, C7 fraction"
P-99-1413,"Ethene, tetrafluoro-, oxidized, polymd., reduced, decarboxylated, C8 fraction"
P-99-1414,"Ethene, tetrafluoro-, oxidized, polymd., reduced, decarboxylated, C9 fraction"
P-99-1415,"Ethene, tetrafluoro-, oxidized, polymd., reduced, decarboxylated, C10 fraction"
P-15-0028,Carbon silicon oxide
P-13-0913,Glycolipid 
SN-11-0007,Organosilane ester 
SN-02-0003,ar Brominated diphenyl alkane 
P-93-1111,"Butanamide, 2,2&#039;-[bis(azo)bis[N-(2,3-dihydro-2-oxo-1H-benzimidazol-5-yl)-3-oxo-"
SN-18-0003,Lithium nickel oxide
P-18-0055,Mixed metal oxide 
J-14-0007,Enhanced algae 
J-14-0008,Enhanced algae 
J-14-0009,Enhanced algae 
J-16-0026,T. reesei modified 
P-12-0277,"Alkanes, C20-28, chloro"
P-12-0279,"Alkanes, C24-28, chloro"
P-12-0281,"Alkanes, C20-24, chloro"
P-12-0282,"Alkanes, C14-16, chloro"
P-13-0307,"Substituted carbocycle, N-[[[4-[[amino]sulfonyl]carbocyclic] amino]carbonyl]-4-methyl-(generic)"
P-14-0053,"2-Pentanone, 3-methyl-5--"
P-14-0758,"2-Propenenitrile, polymer with methanamine, hydrogenated, 3-aminopropylterminated, ethoxylated propoxylated"
P-14-0865,Aromatic amide oxime 
P-15-0106,Alkene reaction and distillation by-products and residues 
P-15-0310,"1,2,4-Benzenetricarboxylic acid, mixed decyl and octyl triesters"
P-15-0433,Chlorinated Complex Esters 
P-15-0446,Rare earth doped zirconium oxide 
213695,Multi-walled carbon nanotubes 
213695,Multi-walled carbon nanotubes 
207831,Multi-walled carbon nanotubes 
207831,Multi-walled carbon nanotubes 
227066,Multi-walled carbon nanotubes 
227066,Multi-walled carbon nanotubes 
203964,Multi-walled carbon nanotubes 
203964,Multi-walled carbon nanotubes 
210685,Multi-walled carbon nanotubes 
210685,Multi-walled carbon nanotubes 
P-15-0705,Alkylarylamine 
P-15-0719,"Benzene, 1,4-bis-, homopolymer (generic)"
P-15-0734,Polymeric sulfide 
P-16-0099,Polyethylene glycol polymer with aliphatic polycarbodiimide Bisamine blocked (generic)
P-16-0165,"Iron, 2-ethylhexanoate propionate complexes"
P-16-0186,Sodium branched chain alkyl hydroxyl and branched chain alkenyl sulfonates 
P-16-0194,Silane-treated aluminosilicate 
P-16-0195,Silane-treated aluminosilicate 
P-16-0196,Silane-treated aluminosilicate 
P-16-0197,Silane-treated aluminosilicate 
P-16-0198,Silane-treated aluminosilicate 
P-16-0199,Silane-treated aluminosilicate 
P-16-0271,"1,2,4-Benzenetricarboxylic acid, 1,2,4-trinonyl ester"
P-16-0307,"Heteropolycycliccarboxylic acid, 1 ,3-dihydro-disubstituted-, polymer with 1,1 'methylenebis[4-isocyanatobenzene ], reaction products with silica"
P-16-0309,"12-Hydroxystearic acid, reaction products with alkylene diamine and alkanoic acid "
P-16-0316,Aliphatic polyester 
P-16-0317,Aliphatic polyester 
226927,"Alkylaldehyde, reaction products with substituted carbomonocycle-substituted heteromonocycle-alkylene glycol bis[[[substitutedoxy)alkyl]amino]alky]ether polymer and alkyl substituted alkanediamine, acetate salts (PROVISIONAL)"
226927,"Alkylaldehyde, reaction products with substituted carbomonocycle-substituted heteromonocycle-alkylene glycol bis[[[substitutedoxy)alkyl]amino]alky]ether polymer and alkyl substituted alkanediamine, acetate salts (PROVISIONAL)"
P-16-0342,Modified acrylic polymer 
P-16-0349,Quaternary ammonium salt of polyisobutene succinic acid 
223337,Polyaralkyl aryl ester of methacrylic acid 
223337,Polyaralkyl aryl ester of methacrylic acid 
223337,Polyaralkyl aryl ester of methacrylic acid 
P-16-0356,Quaternary ammonium salt 
P-16-0357,Quaternary ammonium salt 
P-16-0363,"Blocked polyester polyurethane, neutralized "
P-16-0364,Nitrile-butadiene-acrylate terpolymers 
199258,"Alkyl carbonate, polymer with, subsituted alkanes and substituted heteromonocycle, substituted alkyl acrylate-blocked "
199258,"Alkyl carbonate, polymer with, subsituted alkanes and substituted heteromonocycle, substituted alkyl acrylate-blocked "
222903,"Substituted heteromonocycle, polymer with substituted alkane and ethoxylated alkane, substituted heteromonocycle substituted alkyl ester-blocked "
222903,"Substituted heteromonocycle, polymer with substituted alkane and ethoxylated alkane, substituted heteromonocycle substituted alkyl ester-blocked "
P-16-0375,"Alkyl methacrylates, polymer with olefines "
P-16-0386,"Hexanedioic acid, 1, 6-bis ester"
P-16-0388,"Aliphatic polyamines, polymers with bisphenol A and epichlorohydrin "
P-16-0396,Alkylaminium hydroxide 
215817,di-ammonium di-carboxylate 
215817,di-ammonium di-carboxylate 
204434,"Waste plastics, poly, depolymd. with polypropylene glycol ether with glycerol (3:1), polymers with alkenoic and alkanoic acids (PROVISIONAL)"
204434,"Waste plastics, poly, depolymd. with polypropylene glycol ether with glycerol (3:1), polymers with alkenoic and alkanoic acids (PROVISIONAL)"
204434,"Waste plastics, poly, depolymd. with polypropylene glycol ether with glycerol (3:1), polymers with alkenoic and alkanoic acids (PROVISIONAL)"
P-17-0005,1-tetradecene homopolymer hydrogenated
P-17-0015,Heteromonocycle ester with alkanediol 
P-17-0116,"Cashew Nut Shell Liquid, branched polyester-polyether polyol "
P-17-0121,Methylene diphenyl diisocyanate terminated polyurethane resin 
P-17-0148,"Oils, Hedychium Flavescens"
P-17-0149,Fluorocyanophenyl alkylbenzoate (generic
P-17-0150,Fluorocyanophenyl alkylbenzoate 
P-17-0151,Fluorocyanophenyl alkylbenzoate 
P-17-0155,Mix fatty acids compd with amine 
P-17-0156,Mix fatty acids compd with amine 
P-17-0157,Silane amine carbonate 
P-17-0165,Fluorocyanophenyl alkylbenzoate 
P-17-0177,"Monoheteropentacycloalkane-4-carboxylic acid, substituted cyclo-alkyl ester "
P-16-0361,"Pulp, cellulose, reaction products  with lignin"
P-16-0399,"Starch, polymer with 2-propenoic acid, potassium salt, oxidized"
P-16-0405,"Alkyl ester, 2-azo]phenyl]}(disubstituted)amino) (generic)"
P-16-0406,Functionalized polyimide 
P-16-0408,"3-Pyridinecarbonitrile, 1,2-dihydro-trisubstituted-5-[2-azo]-2-oxo (generic)"
P-16-0421,"Flue dust, glass manufg. Desulfurization.  Definition: The dust produced from the flue gas exhaust cleaning of a glass manufacturing process using carbonate containing substances. It consists primarily of Na2S04, Na2CO3, and Na4(CO3)"
P-16-0430,"Pentanedioic acid, 2-methyl-"
