100-00-5;1-Chloro-4-nitrobenzene
1344-43-0;Manganese oxide 
1344-54-3;Titanium oxide 
1344-59-8;Uranium oxide 
1344-67-8;Copper chloride
1344-81-6;Lime sulfur
1344-95-2;Calcium silicate
1344-96-3;Calcium silicate hydrate
134440-55-4;"Benzenepropanoic acid, 3--4-hydroxy-5-[2-(2-nitrophenyl)diazenyl]-, methyl ester"
13446-03-2;Manganese bromide 
13446-18-9;"Magnesium  nitrate, hexahydrate"
1345-04-6;Antimony sulfide 
1345-05-7;C.I. Pigment White 5
1345-16-0;C.I. Pigment Blue 28
1345-25-1;Iron oxide
1345-27-3;C.I. Pigment Brown 7
13450-90-3;Gallium Trichloride
13450-99-2;"Phosphoric acid, strontium salt "
13454-70-1;Cerium molybdenum oxide 
13454-83-6;Cesium nitrite
13455-36-2;Cobalt phosphate
13462-86-7;Barite )
13463-39-3;"Nickel carbonyl 4), (T-4)-"
13463-40-6;Iron pentacarbonyl
13463-41-7;"Zinc, bis[1--2(1H)-pyridinethionato-.kappa.S2]-, (T-4)-"
13463-67-7;Titanium  oxide
13465-08-2;"Hydroxylamine, nitrate "
13465-77-5;"Disilane, 1,1,1,2,2,2-hexachloro-"
13465-78-6;Chlorosilane
134650-07-0;"Phosphorothioic acid, O- O-ethyl S-(1-methylpropyl) ester"
13466-78-9;"Bicyclo[4.1.0]hept-3-ene, 3,7,7-trimethyl-"
134701-20-5;"Phenol, 2,4-dimethyl-6--"
13472-08-7;"Butanenitrile, 2,2'-azobis[2-methyl-"
13472-30-5;"Silicic acid , sodium salt (1:4)"
13472-33-8;"Rhenate , sodium (1:1), (T-4)-"
13472-45-2;Sodium tungstate
13473-26-2;"Spiro[isobenzofuran-1,9'-[9H]xanthen]-3-one, 2',4',5',7'-tetrabromo-4,5,6,7-tetrachloro-3',6'-dihydroxy-"
13473-90-0;Aluminum nitrate
13474-88-9;HCFC-225cc
13475-82-6;"Heptane, 2,2,4,6,6-pentamethyl-"
13477-34-4;Calcium nitrate tetrahydrate
13481-97-5;"9-Octadecenedioic acid, 1,18-dimethyl ester"
134818-68-1;2--2-[(2-chlorophenyl)methyl]oxirane
134818-69-2;"Alcohols, C10-16, potassium salts"
134883-01-5;"1,3-Propanediamine, N1-[3-propyl]-, acetate (1:2)"
13491-79-7;2-tert-Butylcyclohexanol
13492-26-7;"Phosphonic acid, potassium salt "
13494-80-9;Tellurium
13497-18-2;"1-Propanamine, 3--N-[3-(triethoxysilyl)propyl]-"
13499-05-3;"Hafnium chloride , (T-4)-"
135-19-3;2-Naphthalenol
135-20-6;"Benzenamine, N-hydroxy-N-nitroso-, ammonium salt "
135-37-5;"Glycine, N--N-(2-hydroxyethyl)-, disodium salt"
135-51-3;"2,7-Naphthalenedisulfonic acid, 3-hydroxy-, sodium salt "
135-57-9;"Benzamide, N,N'-bis-"
135-62-6;"2-Naphthalenecarboxamide, 3-hydroxy-N--"
135-76-2;"2-Naphthalenesulfonic acid, 6-hydroxy-, monosodium salt"
135-98-8;"Benzene, -"
135011-47-1;"2H-Imidazole-2-thione, 1,3-dihydro-1-methyl-3-propyl-"
135014-05-0;"1,3-Dioxolane, 4-chloro-4,5,5-trifluoro-2,2-bis-"
135020-80-3;"Formaldehyde, polymer with 1,3-benzenediol and ethenylbenzene"
1350462-14-4;"1,3-Benzenedimethanol, 2-hydroxy-5-methyl-, polymer with 1,3-benzenediol and 4,4'-bis-1,1'-biphenyl"
13510-49-1;"Sulfuric acid, beryllium salt "
13515-40-7;"Butanamide, 2-[azo]-N-(2-methoxyphenyl)-3-oxo-"
13517-24-3;"Silicic acid , disodium salt, nonahydrate"
13521-83-0;"Pentanedioic acid, disodium salt"
135228-60-3;"Hexane, 1,6-diisocyanato-, homopolymer, .gamma.-.omega.-perfluoro-C6-20-alc.-blocked"
135252-10-7;"Thiourea, N-[2,6-bis-4-p henoxyphenyl]-"
13528-88-6;"Disilane, 1,1,2-trichloro-1,2,2-trimethyl-"
135285-90-4;"5,2,6--1H-imidazo[4,5-b]pyrazine, octahydro-1,3,4,7,8,10-hexanitro-"
13530-50-2;"Phosphoric acid, aluminum salt "
13530-65-9;Zinc Chromate
13530-68-2;Chromic acid 
1353091-50-5;"Iron oxide , mixed with silica, calcined"
13532-18-8;"Propanoic acid, 3--, methyl ester"
135364-47-5;"Zinc, bis-, (T-4)-"
1353675-44-1;"Alkenes, C23-33-branched and linear"
13539-13-4;"2,5-Bis-1,3,4-Thiadiazole"
1354201-99-2;"Phosphorodithioic acid, O,O-bis ester, compd. with N, N dimethylmethanamine (1:1)"
1354427-59-0;"Syrups, hydrolyzed starch, polymers with acrylic acid and maleic anhydride, sodium salt, hydrogen peroxide- and peroxydisulfuric acid S(O)2]2O2) sodium salt (1:2)-initiated"
13547-17-6;"Urea, N,N''-methylenebis-"
13547-70-1;"2-Butanone, 1-chloro-3,3-dimethyl-"
135470-04-1;"1,3-Benzenedimethanamine, reaction products with epichlorohydrin"
13548-38-4;Chromium nitrate
13548-42-0;"Chromic acid , copper(2+) salt (1:1)"
13557-75-0;Sodium lauroyl lactylate
13560-89-9;Dechlorane Plus
13561-08-5;"Oxirane, 2,2'-[[2--1,3-phenylene]bis(methylene)]bis-"
13568-33-7;"Nitrous acid, lithium salt "
1356964-77-6;"9-Decenamide, N,N-dimethyl-"
13573-13-2;Magnesium vanadium oxide 
135800-37-2;"Fatty acids, C8-16, 2-ethylhexyl esters"
13586-84-0;"Octadecanoic acid, cobalt salt"
135861-56-2;"D-Glucitol, 1,3:2,4-bis-O-[methylene]-"
135866-44-3;"Propanamide, N-[[3-phenyl]methyl]-3-[[[3-(aminomethyl)phenyl]methyl]amino]-"
1359-13-4;"2,5-bis-1,3,4-thiadiazole, ,residual bis (n-octyl) disulfide"
13593-03-8;Quinalphos
13595-85-2;Bismuth molybdenum oxide 
13597-19-8;Cerium vanadium oxide 
13597-65-4;"Silicic acid, zinc salt "
13598-36-2;Phosphonic acid
13598-37-3;Zinc dihydrogen phosphate
13598-65-7;"Rhenate , ammonium (1:1), (T-4)-"
136-23-2;Zinc dibutyldithiocarbamate
136-26-5;"Decanamide, N,N-bis-"
136-30-1;"Carbamodithioic acid, dibutyl-, sodium salt"
136-32-3;"Phenol, 2,4,5-trichloro-, sodium salt "
136-36-7;"Resorcinol, monobenzoate"
136-40-3;Phenazopyridine hydrochloride
136-45-8;Dipropyl isocinchomeronate
136-51-6;"Hexanoic acid, 2-ethyl-, calcium salt"
136-52-7;"Hexanoic acid, 2-ethyl-, cobalt salt"
136-53-8;"Hexanoic acid, 2-ethyl-, zinc salt"
136-60-7;Butyl benzoate
136-84-5;"2-Imidazolidinone, 1,3-bis-"
136-99-2;"1H-Imidazole-1-ethanol, 4,5-dihydro-2-undecyl-"
13601-08-6;Tetraamminepalladium nitrate
13601-19-9;Sodium ferrocyanide
136013-79-1;HCFC-225ea
136040-19-2;"Diphenylmethylbenzene;tetrakisboranuide"
1362053-75-5;Sodium glucarate
136210-30-5;"Aspartic acid, N,N'-bis-, tetraethyl ester"
136210-32-7;"Aspartic acid, N,N'-[methylenebis]bis-, tetraethyl ester"
13623-06-8;"1-Dodecanaminium, N,N,N-trimethyl-, methyl sulfate"
13637-90-6;"Sulfamic acid, chloro-, monosodium salt"
136504-87-5;"1-Propanaminium, 3-amino-N--N,N-dimethyl-, N-soya acyl derivs., inner salts"
136504-96-6;"1,3-Propanediamine, N,N''-1,2-ethanediylbis-, polymer with 2,4,6-trichloro-1,3,5-triazine, reaction products with N-butyl-2,2,6,6-tetramethyl-4-piperidinamine"
13654-09-6;"1,2,3,4,5-Pentabromo-6-benzene"
136618-51-4;"Aluminate 63-), (OC-6-11)-, magnesium carbonate perchlorate (5:10:1:3)"
13674-84-5;"2-propanol, 1-Chloro-, phosphate "
13674-87-8;"Tris phosphate"
13676-54-5;"1H-Pyrrole-2,5-dione, 1,1'-bis-"
13676-91-0;"9,10-Anthracenedione, 1,8-bis-"
136816-57-4;"Cibacron Black P-GR-01 dye ,Cibacron Navy P-219-01 dye ,Glycerol  ,Polypropylene glycol, Propylene glycol ,2-Pyrrolidone ,TRIS, Water  ,C.I. Reactive Blue 176, C.1 Reactive Brown 11  , 0.1. Reactive Brown 11  , 0.1. Reactive Yellow 181"
13684-56-5;Desmedipham
13684-63-4;Phenmedipham
13688-56-7;Trimethylsilyl methacrylate
13693-11-3;"Sulfuric acid, titanium salt (2:1)"
13695-31-3;"2-Propenoic acid, 2-methyl-, 2,2,3,3,4,4,4-heptafluorobutyl ester"
137-00-8;"5-Thiazoleethanol, 4-methyl-"
137-03-1;2-Heptylcyclopentan-1-one
137-07-5;"Benzenethiol, 2-amino-"
137-08-6;Calcium pantothenate
137-16-6;Gardol
137-20-2;"Ethanesulfonic acid, 2-[methyl[-1-oxo-9-octadecenyl]amino]-, sodium salt"
137-26-8;Thiram
137-30-4;Ziram
137-32-6;2-Methyl-1-butanol
137-40-6;Sodium propionate
137-41-7;Potassium N-methyldithiocarbamate
137-42-8;Sodium methyldithiocarbamate
137-52-0;"2-Naphthalenecarboxamide, N--3-hydroxy-"
137-66-6;Ascorbyl palmitate
13701-59-2;Barium metaborate
13701-64-9;"Boric acid , calcium salt (2:1)"
1370442-66-2;"Iodonium, diphenyl-, 4,4'-di-C10-13-alkyl derivs., -hexafluoroantimonates(1-)"
13705-05-0;"1,3,5-Triazine, 2,4-dichloro-6--"
13709-94-9;Potassium metaborate
137091-12-4;"Acetic acid ethenyl ester, polymer with ethenol and .alpha.-2-propenyl-.omega.-h ydroxypoly"
13717-00-5;Magnesite )
13718-26-8;"Vanadate , sodium"
1372804-76-6;"Alkanes, C14-16, chloro"
13732-62-2;"Morpholine, 4-methylbenzenesulfonate"
1373220-73-5;"1,4-Cyclohexanedicarboxylic acid, 1,4-dimethyl ester, hydrogenolysis products"
137376-38-6;"Carbamic acid, [3-propyl]-1,1-dimethylethyl ester"
13746-89-9;"Nitric acid, zirconium salt (4:1)"
13746-98-0;"Nitric acid, thallium salt (3:1)"
13749-94-5;"Ethanimidothioic acid, N-hydroxy-, methyl ester"
13752-51-7;"Morpholine, 4-[thioxomethyl]-"
137521-81-4;"Benzoic acid, 3-chloro-4-fluoro-, ethyl ester"
13755-29-8;"Borate, tetrafluoro-, sodium (1:1)"
13759-10-9;Silicon sulfide 
13759-17-6;Hafnium chloride oxide 
13762-14-6;Cobalt molybdenum oxide 
137641-05-5;Picolinafen
13767-32-3;Molybdenum zinc oxide 
13768-67-7;Ytterbium nitrate
13769-43-2;Potassium metavanadate
13769-81-8;Iron molybdenum oxide 
13770-61-1;"Nitric acid, indium salt (3:1)"
13770-89-3;Nickel  sulfamate
13774-25-9;Magnesium bisulfite
13775-52-5;"Aluminate, hexafluoro-, potassium (1:3), (OC-6-11)-"
13775-53-6;"Aluminate, hexafluoro-, trisodium, (OC-6-11)-"
13776-74-4;"Silicic acid , magnesium salt (1:1)"
13776-88-0;"Metaphosphoric acid , aluminum salt (3:1)"
13778-59-1;"Phosphoric acid, lanthanum salt (1:1)"
137787-41-8;Ethyl 2-trimethoxysilylpropanoate
13780-06-8;Calcium nitrite
13780-17-1;"Phosphoric acid, calcium sodium salt "
13780-39-7;Dichloride titanium oxide
13782-33-7;"Palladium, diamminedichloro-, -"
137836-88-5;"1H-Imidazolium, 1,3-bis-, hydroxide (1:1)"
137866-54-7;Tetramethyldisiloxane
137873-52-0;"Benzene, 1--4-nitro-"
1378928-76-7;"Ethanesulfonyl fluoride, 2-[1-[difluoro][oxy]methyl]-1,2,2,2-tetrafluoroethoxy]-1,1,2,2-tetrafluoro-, polymer with 1,1,2,2-tetrafluoroethene, hydrolyzed, potassium salts"
1378930-04-1;"Ethanesulfonyl fluoride, 2-[1-[difluoro[oxy]methyl]-1,2,2,2-tetrafluoroethoxy]-1,1,2,2-tetrafluoro-, polymer with 1,1,2,2-tetrafluoroethene, hydrolyzed"
1378930-30-3;"Propanoic acid, 3-[1-[difluoro[oxy]methyl]-1,2,2,2-tetrafluoroethoxy]-2,2,3,3-tetrafluoro-, methyl ester, polymer with 1,1,2,2-tetrafluoroethene, hydrolyzed, potassium salts"
137898-94-3;"Phosphoric acid, mixed decyl and Et and octyl esters, potassium salts"
137898-96-5;"Piperidine, 4-[3-propoxy]-2,2,6,6-tetramethyl-, hydrolyzed, polymd."
137899-00-4;"2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene and methyl 2-methyl-2-propenoate, calcium salt"
1379399-61-7;"1-Propene, 1-bromo-2,3,3-trifluoro-"
1379507-83-1;"Flue dust, automotive metal recovery"
138-22-7;Butyl lactate
138-24-9;"Benzenaminium, N,N,N-trimethyl-, chloride"
138-28-3;"Benzenesulfonic acid, 3-[azo]-"
138-86-3;Dipentene
138-87-4;"Cyclohexanol, 1-methyl-4--"
138-93-2;Disodium cyanodithioimidocarbonate
1380516-09-5;"Slags, automotive metal recovery"
13813-79-1;Boric acid 
13814-96-5;Lead Fluoroborate
13814-97-6;"Borate, tetrafluoro-, tin(2+) (2:1)"
13815-17-3;Tetraamminepalladium dichloride
13818-44-5;"2-Propenoic acid, 2-methyl-, methyl ester"
13820-40-1;"Palladate, tetrachloro-, ammonium (1:2), (SP-4-1)-"
13820-53-6;"Palladate, tetrachloro-, sodium, trihydrate"
13821-15-3;Aluminum sodium fluoride
13821-20-0;"Aluminate, hexafluoro-, lithium (1:3), (OC-6-11)-"
1382106-64-0;"Benzoic acid, 4-chloro-2-fluoro-, sodium salt "
1382106-78-6;"Benzoic acid, 5-chloro-2-fluoro-, sodium salt "
13822-56-5;"1-Propanamine, 3--"
13824-85-6;"Sulfuric acid, zirconium salt (1:1)"
13825-25-7;Rubidium nitrite
13825-74-6;Titanium sulfate
13826-35-2;"Benzenemethanol, 3-phenoxy-"
13826-66-9;Zirconyl nitrate
13826-83-0;Ammonium Fluoroborate
13826-88-5;"Borate, tetrafluoro-, zinc (2:1)"
13827-02-6;Potassium;zinc;trifluoride
13827-38-8;"2,4,6,7,8-Pentaoxa-3,5-diphospha-1-s ilatricyclo[3.1.1.11,3]octane, 3,5-dioxide"
13828-37-0;"Cyclohexanemethanol, 4--, cis-"
138314-12-2;"Phosphonic acid, P,P',P'',P'''-[1,2-e thanediylbis[nitrilobis]]tetr akis-, calcium sodium salt (2:5:6)"
138337-31-2;"9,12-Octadecadienoic acid -, dimer, reaction products with N,N-dimethyl-1,3-propanediamine"
13840-33-0;"Hypochlorous acid, lithium salt "
13840-55-6;"Boric acid , calcium salt (1:?)"
13840-56-7;"Boric acid , sodium salt (1:?)"
13845-18-6;"Sulfamic acid, sodium salt "
13845-36-8;"Triphosphoric acid, pentapotassium salt"
138495-42-8;"1,1,1,2,2,3,4,5,5,5-Decafluoropentane"
138577-01-2;Aluminum cesium fluoride
13863-31-5;Tinopal 5Bm
13863-41-7;Bromine chloride 
13863-45-1;"Sulfuric acid, ammonium sodium salt "
1386395-00-1;"Neodymium, butadiene iso-Bu neodecanoate complexes"
13870-28-5;Disodium disilicate
13877-91-3;"1,3,6-Octatriene, 3,7-dimethyl-"
138776-88-2;"Dibenzo[d,f][1,3,2]dioxaphosphepin, 6,6'-[[3,3',5,5'-tetrakis[1,1'-biphenyl]-2,2'- diyl]bis(oxy)]bis-"
138859-29-7;"Benzenamine, 4--, hydrochloride (1:1)"
13886-99-2;"9-Phosphabicyclo[4.2.1]nonane, 9-eicosyl-"
13887-00-8;"9-Phosphabicyclo[3.3.1]nonane, 9-eicosyl-"
13887-02-0;9-Phosphabicyclo[3.3.1]nonane
138879-94-4;"1,2-Ethanediaminium, N,N'-bis[2-[bismethylammonio]ethyl]-N,N'-bis(2-hydroxyethyl)-N,N'-dimethyl-, tetrachloride"
13893-53-3;"Butanenitrile, 2-amino-2,3-dimethyl-"
13897-55-7;"1,3-Cyclohexanediamine, 4-methyl-"
13897-56-8;"1,3-Cyclohexanediamine, 2-methyl-"
139-02-6;"Phenol, sodium salt"
139-07-1;"Benzenemethanaminium, N-dodecyl-N,N-dimethyl-, chloride"
139-08-2;"Benzenemethanaminium, N,N-dimethyl-N-tetradecyl-, chloride"
139-13-9;Nitrilotriacetic acid
139-25-3;"Benzene, 1,1'-methylenebis[4-isocyanato-3-methyl-"
139-33-3;Edetate disodium
139-40-2;"1,3,5-Triazine-2,4-diamine, 6-chloro-N2,N4-bis-"
139-65-1;"Benzenamine, 4,4'-thiobis-"
139-66-2;"Benzene, 1,1'-thiobis-"
139-88-8;"4-Undecanol, 7-ethyl-2-methyl-, 4-, sodium salt (1:1)"
139-89-9;Versen-ol
139-90-2;"2-propanol, 1,1'-[[2-[(2-hydroxypropyl)amino]ethyl]imino]bis-"
139-96-8;"Sulfuric acid, monododecyl ester, compd. with 2,2',2''-nitrilotris[ethanol] "
1391033-38-7;"2-Pyridinecarboxylic acid, 6--4,5-difluoro-, phenylmethyl ester"
1391739-82-4;"Slimes and Sludges, aluminum and iron casting, wastewater treatment, solid waste"
13918-37-1;Fayalite )
139189-30-3;"Phosphoric acid, 1,3-phenylene tetrakis ester"
1392095-50-9;"Slimes and Sludges, automotive coating, wastewater treatment, solid waste"
13927-71-4;"Carbamic acid, dibutyldithio-, copper salt"
13927-77-0;"Nickel, bis-"
13933-32-9;"Platinum, tetraammine-, chloride (1:2), (SP-4-1)-"
13939-25-8;"Triphosphoric acid, aluminum salt "
1394242-48-8;"Asphalt, oxidized, sulfonated, sodium salt"
1394242-49-9;"Asphalt, oxidized, sulfonated, potassium salt"
13943-58-3;"Ferrate, hexakis(cyano-.kappa.C)-, potassium (1:4), (OC-6-11)-"
13945-76-1;"Dodecanoic acid, dodecyl ester"
139481-22-4;"1H-Pyrazole-5-sulfonamide, 1-methyl-4--"
139497-04-4;"Rubber, reclaimed"
139504-68-0;"2-Butanol, 1-[[2-cyclohexyl]oxy]-"
13952-84-6;2-Butanamine
13961-86-9;Oleic acid Diethanolamine salt
13967-50-5;Potassium dicyanoaurate
13977-65-6;"Phosphonic acid, potassium salt "
13981-86-7;Niobium hydride 
13981-95-8;Tantalum hydride 
13983-17-0;Wollastonite
139871-83-3;"2-Butenedioic acid -, polymer with ethenol and ethenyl acetate, sodium salt"
13990-54-0;Yttrium;phosphate
139911-28-7;"Benzoic acid, 2-bromo-5-fluoro-, ethyl ester"
140-01-2;Pentasodium pentetate
140-03-4;"9-Octadecenoic acid, 12--, methyl ester, (9Z,12R)-"
140-07-8;"Ethanol, 2,2',2'',2'''-tetrakis-"
140-08-9;"Ethanol, 2-chloro-, phosphite "
140-11-4;Benzyl acetate
140-29-4;Benzeneacetonitrile
140-31-8;1-Piperazineethanamine
140-38-5;4-Chlorophenylurea
140-41-0;Monuron-TCA
140-57-8;Aramite
140-66-9;"4-phenol"
140-67-0;"Benzene, 1-methoxy-4--"
140-88-5;Ethyl Acrylate
140-89-6;Potassium Ethylxanthate
140-93-2;"Isopropylxanthic acid, sodium salt"
140-95-4;Dimethylol Urea
1400790-00-2;"Alcohols, C9-11-branched, ethoxylated propoxylated"
1401-55-4;Tannins
14017-41-5;"Sulfamic acid, cobalt salt (2:1)"
14018-95-2;"Chromic acid , zinc salt (1:1)"
14019-91-1;"Selenic acid, calcium salt "
1401974-24-0;"Alkanes, C22-30-branched and linear, chloro"
1402156-07-3;"Phosphorus sulfide , reaction products with sodium hydroxide"
14024-11-4;"Aluminate, tetrachloro-, lithium (1:1), (T-4)-"
14024-48-7;"Cobalt, bis-, (SP-4-1)-"
14024-63-6;"Zinc, bis-, (T-4)-"
14025-15-1;"Cuprate, [[N,N'-1,2-ethanediylbis[N-[(carboxy-.kappa.O)methyl]glycinato-.kappa.N,.kappa.O]](4-)]-, disodium, (OC-6-21)-"
14025-21-9;"Zincate, [[N,N'-1,2-ethanediylbis[N-[(carboxy-.kappa.O)methyl]glycinato-.kappa.N,.kappa.O]](4-)]-, disodium, (OC-6-21)-"
1402738-52-6;"Alkanes, C24-28, chloro"
14035-94-0;"Pentanedioic acid, 2-methyl-, 1,5-dimethyl ester"
14035-95-1;Dimethyl ethylsuccinate
14038-34-7;"Phosphoric Acid, manganese salt (2:3)"
14038-43-8;"Ferrate, hexakis(cyano-.kappa.C)-, iron(3+) (3:4), (OC-6-11)-"
1404190-37-9;"Benzene, 1--2-(1-methylpropyl)-4-(triphenylmethyl)-"
1404220-73-0;"Phosphorous acid, mixed 2,4-bisphenyl and isodecyl and 2-(1-methyl-1-phenylethyl)phenyl and 4-(1-methyl-1-phenylethyl)phenyl and Ph triesters"
14059-33-7;Bismuth vanadium oxide 
1406-18-4;Vitamin E
140681-55-6;"1,4-Diazoniabicyclo[2.2.2]octane, 1--4-fluoro-, tetrafluoroborate(1-) (1:2)"
14075-53-7;"Borate, tetrafluoro-, potassium"
140921-24-0;"Carbamic acid, N,N'-1,6-hexanediylbis-, C,C'-bis[2-[2--3-o xazolidinyl]ethyl] ester"
140923-25-7;"Carbamic acid, [-2-methyl-1-[[[(1R)-1-(4-methylphenyl)ethyl]amino]carbonyl]propyl]-, 1-methylethyl ester"
141-01-5;"2-Butenedioic acid -, iron(2+) salt (1:1)"
141-02-6;"2-Butenedioic acid -, 1,4-bis(2-ethylhexyl) ester"
141-04-8;Diisobutyl Adipate
141-05-9;Diethyl Maleate
141-10-6;"3,5,9-Undecatrien-2-one, 6,10-dimethyl-"
141-12-8;Neryl acetate
141-13-9;"9-Undecenal, 2,6,10-trimethyl-"
141-14-0;"6-Octen-1-ol, 3,7-dimethyl-, 1-propanoate"
141-16-2;"Butanoic acid, 3,7-dimethyl-6-octen-1-yl ester"
141-17-3;Bisethyl) adipate
141-18-4;"Hexanedioic acid, bis ester"
141-19-5;"Decanedioic acid, bis ester"
141-21-9;N--N'-stearoylethylenediamine
141-22-0;cis-12-Hydroxy-9-octadecenoic acid
141-23-1;"Octadecanoic acid, 12-hydroxy-, methyl ester"
141-24-2;"9-Octadecenoic acid, 12-hydroxy-, methyl ester, -"
141-27-5;"2,6-Octadienal, 3,7-dimethyl-, -"
141-32-2;Butyl acrylate
141-33-3;"Carbonodithioic acid, O-butyl ester, sodium salt "
141-38-8;2-Ethylhexyl epoxystearate
141-43-5;Ethanolamine
141-52-6;Sodium ethoxide
141-53-7;Sodium formate
141-57-1;Propyltrichlorosilane
141-59-3;"2-Pentanethiol, 2,4,4-trimethyl-"
141-62-8;Decamethyltetrasiloxane
141-63-9;Dodecamethylpentasiloxane
141-78-6;Ethyl acetate
141-79-7;Mesityl oxide
141-82-2;Malonic acid
141-95-7;"Malonic acid, sodium salt"
141-97-9;Acetoacetic ester
141-98-0;"Carbamothioic acid, ethyl-, O- ester"
14100-64-2;"Vanadate , calcium (2:1)"
1410795-87-7;"Tires, wastes, pyrolyzed, C7-56 oil fraction"
1410795-89-9;"Tires, wastes, pyrolyzed, C6-39 oil fraction"
1412893-77-6;"Phosphoric acid, methyl ester, compds. with branched dodecylbenzenamine"
1412893-78-7;"Phosphoric acid, butyl ester, compds. with branched dodecylbenzenamine"
141347-05-9;"Formaldehyde, polymer with dimethylphenol, methylphenol and phenol, Bu ether"
141420-50-0;"Oxirane, 2-methyl-2-[[4-[[4-phenyl]sulfonyl]phenoxy]methyl]-"
141464-42-8;C8-16 Alkyl-poly-D-glucosides
1415313-86-8;"Formaldehyde, polymer with 2,3-dimethylphenol, 2,4-dimethylphenol, 2,5-dimethylphenol, 3,5-dimethylphenol, 3-ethylphenol, 4-ethylphenol, 3-methylphenol, 4-methylphenol and phenol"
14154-09-7;"Phosphoric acid, manganese salt (4:5)"
14154-42-8;"Aluminum, chloro[29H,31H-phthalocyaninato-.kappa.N29,.kappa.N30,.kappa.N31,.kappa.N32]-, (SP-5-12)-"
1416-30-9;Dodecamethylpentasiloxan e
14167-15-8;"Copper, [[2,2'-[1,2-ethanediylbis[methylidyne]]bis[phenolato-.kappa.O]](2-)]-, (SP-4-2)-"
14168-73-1;Magnesium sulfate monohydrate
1417164-49-8;Bismuth nitrate oxide O4)
14177-51-6;Nickel tungsten oxide 
14177-55-0;Molybdenum nickel oxide 
141773-73-1;Helvetolide
1417782-03-6;"-2-[4-(4-chlorophenoxy)-2-(trifluoromethyl)phenyl]-1-(1H-1,2,4-triazol-1-yl)propan-2-ol"
1417782-28-5;"Ethanone, 1-[4--2-(trifluoromethyl)phenyl]-"
1417900-96-9;"Alkanes, C21-34-branched and linear, chloro"
141808-04-0;"Phosphonic acid, polymers with diisopropanolamine N-tallow alkyl derivs., oleates "
141904-03-2;"Amines, C12-14-tert-alkyl, 2-[[bisphosphinothioyl]thio]methylethyl phosphates"
141914-99-0;"4-Methylbenzenesulfonate,1,2,3,3-tetramethylbenzo[e]indol-3-ium"
142-16-5;"2-Butenedioic acid -, bis(2-ethylhexyl) ester"
142-17-6;Calcium oleate
142-18-7;Glyceryl monolaurate
142-19-8;"Heptanoic acid, 2-propenyl ester"
142-22-3;Diallyl diglycol carbonate
142-26-7;Acetylethanolamine
142-28-9;"1,3-Dichloropropane"
142-29-0;Cyclopentene
142-30-3;"2,5-Dimethyl-3-hexyne-2,5-diol"
142-31-4;Sodium octyl sulfate
142-47-2;Monosodium L-glutamate
142-54-1;N-dodecanamide
142-58-5;"Tetradecanamide, N--"
142-59-6;Nabam
142-62-1;Hexanoic acid
142-71-2;Copper acetate
142-72-3;Magnesium acetate
142-73-4;N-glycine
142-77-8;Butyl Oleate
142-78-9;2-Aminoethane dodecanoate
142-82-5;n-Heptane
142-84-7;Dipropylamine
142-87-0;"Sulfuric acid, monodecyl ester, sodium salt "
142-90-5;Dodecyl 2-methyl-2-propenoate
142-91-6;Isopropyl palmitate
142-92-7;Hexyl acetate
142-95-0;"1-Octanamine, hydrochloride "
142-96-1;Di-N-butyl ether
1421-49-4;"Benzoic acid, 3,5-bis-4-hydroxy-"
1421029-88-0;"Benzoic acid, 4-chloro-3-fluoro-, sodium salt "
14215-15-7;Aluminum chloride hydroxide )
14215-52-2;Copper 2-aminoethanolate
1421695-64-8;"2-hydroxyethyl methacrylate, phthalic anhydride and propylene oxide"
1421761-18-3;"Benzoic acid, 3-chloro-4-fluoro-, sodium salt "
14228-73-0;"Oxirane, 2,2'-[1,4-cyclohexanediylbis]bis-"
14228-74-1;TMC diglycidyl ether
1423-46-7;"3-Cyclohexene-1-carboxaldehyde, 2,4,6-trimethyl-"
14234-82-3;"2-Butenedioic acid -, bis(2-methylpropyl) ester"
142474-86-0;"Phosphoric acid, diphenyl tetradecyl ester"
142518-21-6;"Cyclohexane, 5-isocyanato-1--1,3,3-trimethyl-, polymer with 1,6-diisocyanatohexane"
14260-98-1;"Ethanol, 2-butoxy-, 1-"
1426298-25-0;"Bromine, manuf. of, by-products from, distn. residues"
14263-73-1;"Cuprate, tetrakis(cyano-.kappa.C)-, potassium (1:3), (T-4)-"
142636-88-2;"2-Propenoic acid, 2-methyl-, octadecyl ester, polymer with .gamma.-.omega.-perfluorododecyl 2-propenoate, .gamma.-.omega.-perfluorodecyl 2-propenoate and .gamma.-.omega.-perfluorotetradecyl 2-propenoate"
142636-89-3;"Phosphoric acid, octadecyl ester, compd. with 1-octadecanamine"
142636-90-6;"2-Propenoic acid, .gamma.-.omega.-perfluorofluoroC10 - C14 ester, polymer with ., 2-hydroxyethyl acrylate, and 2-methyloxirane polymer with oxirane mono"
142636-91-7;"2-Propenoic acid, 2-methyl-, phenylmethyl ester, polymer with 1,1-dichloroethene, .gamma.-.omega.-perfluorododecyl 2-propenoate, .gamma.-.omega.-perfluorodecyl2-propenoate, 2-hydroxyethyl 2-propenoate and .gamma.-.omega.-perfluorotetradecyl 2-propenoate"
142828-65-7;"Benzene, (2-phenylethyl)-"
14283-07-9;"Borate, tetrafluoro-, lithium (1:1)"
142844-00-6;Refractory ceramic fibers
